"","Date","Open","High","Low","Close","Volume","Adj.Close"
"192","2015-03-18",5425.809082,5435.040039,5412.956055,5413.150879,4171686800,5413.150879
"193","2015-03-17",5452.833008,5464.016113,5431.796875,5439.152832,4910415200,5439.152832
"194","2015-03-16",5415.467773,5449.942871,5415.467773,5435.270996,3542485200,5435.270996
"195","2015-03-13",5457.936035,5462.587891,5420.799805,5426.46582,4107393600,5426.46582
"196","2015-03-12",5418.191895,5449.603027,5417.599121,5439.832031,4386662400,5439.832031
"197","2015-03-11",5438.328125,5439.262207,5405.941895,5419.565918,5222211600,5419.565918
"198","2015-03-10",5437.128906,5471.282227,5407.566895,5462.928223,4679609600,5462.928223
"199","2015-03-09",5483.85791,5485.00293,5424.954102,5444.633789,4073314000,5444.633789
"200","2015-03-06",5467.147949,5514.787109,5460.88916,5514.787109,4247456000,5514.787109
"201","2015-03-05",5457.896973,5476.625977,5450.946777,5450.946777,4011808000,5450.946777
"202","2015-03-04",5477.824219,5484.855957,5435.435059,5448.059082,3846059200,5448.059082
"203","2015-03-03",5479.621094,5499.765137,5472.573242,5474.619141,4186089600,5474.619141
"204","2015-03-02",5452.831055,5477.831055,5451.567871,5477.831055,4156319200,5477.831055
"205","2015-02-27",5455.225098,5464.219238,5441.13916,5450.293945,4306059200,5450.293945
"206","2015-02-26",5429.484863,5459.067871,5429.484863,5454.795898,4124161600,5454.795898
"207","2015-02-25",5426.228027,5448.694824,5425.89502,5445.10791,4796830400,5445.10791
"208","2015-02-24",5399.658203,5422.439941,5397.783203,5417.313965,4057434400,5417.313965
"209","2015-02-23",5409.943848,5418.584961,5387.378906,5403.276855,3827427200,5403.276855
"210","2015-02-20",5399.432129,5427.313965,5398.348145,5400.104004,4084130800,5400.104004
"211","2015-02-18",5372.753906,5415.382812,5372.753906,5390.449219,5012582800,5390.449219
"212","2015-02-17",5325.684082,5342.924805,5319.464844,5337.500977,3363027200,5337.500977
"213","2015-02-16",5377.972168,5384.023926,5320.398926,5325.495117,3426804000,5325.495117
"214","2015-02-13",5363.98291,5380.836914,5352.952148,5374.165039,3570199200,5374.165039
"215","2015-02-12",5342.057129,5346.140137,5320.244141,5343.411133,4140418400,5343.411133
"216","2015-02-11",5336.657227,5345.081055,5327.893066,5336.519043,4563078000,5336.519043
"217","2015-02-10",5353.807129,5362.573242,5310.083008,5321.474121,4228540400,5321.474121
"218","2015-02-09",5341.758789,5375.087891,5333.22998,5348.470215,4043871600,5348.470215
"219","2015-02-06",5297.351074,5342.515137,5296.597168,5342.515137,4589112400,5342.515137
"220","2015-02-05",5309.12793,5314.286133,5254.036133,5279.89502,3918400000,5279.89502
"221","2015-02-04",5315.448242,5348.84082,5298.120117,5315.28418,5197634000,5315.28418
"222","2015-02-03",5287.623047,5310.112793,5282.057129,5291.717773,4389694400,5291.717773
"223","2015-02-02",5277.153809,5291.414062,5257.207031,5276.23584,3268610400,5276.23584
"224","2015-01-30",5290.387207,5298.459961,5281.581055,5289.403809,3829611600,5289.403809
"225","2015-01-29",5263.535156,5266.98877,5253.452148,5262.717773,3824442400,5262.717773
"226","2015-01-28",5272.221191,5279.914062,5263.544922,5268.852051,4387148400,5268.852051
"227","2015-01-27",5254.457031,5277.148926,5243.75293,5277.148926,3909135200,5277.148926
"228","2015-01-26",5302.63916,5309.523926,5208.421875,5260.023926,4623835200,5260.023926
"229","2015-01-23",5281.183105,5325.039062,5281.183105,5323.884766,5997008000,5323.884766
"230","2015-01-22",5215.640137,5267.571777,5215.025879,5253.183105,5853246400,5253.183105
"231","2015-01-21",5176.351074,5215.266113,5164.304199,5215.266113,3853158400,5215.266113
"232","2015-01-20",5154.370117,5166.089844,5121.814941,5166.089844,4581389600,5166.089844
"233","2015-01-19",5152.15918,5171.684082,5132.706055,5152.092773,4347921600,5152.092773
"234","2015-01-16",5182.01123,5204.493164,5148.378906,5148.378906,4481017600,5148.378906
"235","2015-01-15",5180.434082,5193.955078,5168.007812,5188.711914,5418008800,5188.711914
"236","2015-01-14",5217.204102,5225.022949,5159.667969,5159.667969,6397240000,5159.667969
"237","2015-01-13",5199.935059,5217.221191,5197.085938,5214.358887,7292129600,5214.358887
"238","2015-01-12",5202.749023,5220.249023,5183.213867,5187.933105,4766190000,5187.933105
"239","2015-01-09",5226.887207,5240.237793,5212.279785,5216.665039,7393040000,5216.665039
"240","2015-01-08",5218.399902,5230.179199,5208.993164,5211.828125,6916301600,5211.828125
"241","2015-01-07",5175.554199,5207.375977,5174.795898,5207.118164,7208839200,5207.118164
"242","2015-01-06",5186.204102,5194.803223,5169.060059,5169.060059,5151649600,5169.060059
"243","2015-01-05",5229.684082,5233.660156,5206.285156,5219.995117,4484602000,5219.995117
"244","2015-01-02",5233.795898,5247.937988,5230.75,5242.769043,3813300000,5242.769043
"245","2014-12-31",5177.942871,5226.946777,5175.64209,5226.946777,0,5226.946777
"246","2014-12-30",5177.942871,5226.946777,5175.64209,5226.946777,4668636000,5226.946777
"247","2014-12-29",5168.721191,5185.664062,5167.429199,5178.373047,3191469800,5178.373047
"248","2014-12-24",5141.37793,5175.382812,5140.967773,5166.98291,3670180000,5166.98291
"249","2014-12-23",5139.788086,5151.373047,5139.055176,5139.067871,4173190000,5139.067871
"250","2014-12-22",5161.019043,5167.020996,5125.771973,5125.771973,6044771200,5125.771973
"251","2014-12-19",5141.706055,5162.371094,5127.723145,5144.621094,6667904800,5144.621094
"252","2014-12-18",5076.226074,5113.345215,5076.226074,5113.345215,6373773600,5113.345215
"253","2014-12-17",5030.814941,5059.731934,5021.949219,5035.648926,5484104400,5035.648926
"254","2014-12-16",5067.950195,5069.263184,5005.274902,5026.027832,6795053600,5026.027832
"255","2014-12-15",5124.262207,5126.070801,5094.416016,5108.432129,6687456000,5108.432129
"256","2014-12-12",5151.161133,5178.515137,5150.584961,5160.433105,5157773600,5160.433105
"257","2014-12-11",5139.286133,5166.700195,5137.199219,5152.694824,4594402800,5152.694824
"258","2014-12-10",5121.580078,5168.72998,5121.580078,5165.407227,0,5165.407227
"259","2014-12-09",5132.90918,5142.816895,5122.312012,5122.312012,4987931600,5122.312012
"260","2014-12-08",5197.890137,5207.21582,5124.543945,5144.01416,5183423600,5144.01416
"261","2014-12-05",5185.250977,5206.224121,5185.214844,5187.994141,3973562800,5187.994141
"262","2014-12-04",5172.042969,5199.331055,5160.780762,5177.160156,4817668800,5177.160156
"263","2014-12-03",5180.26123,5187.350098,5157.152832,5166.043945,4660349200,5166.043945
"264","2014-12-02",5169.615234,5194.046875,5166.628906,5175.792969,4981680400,5175.792969
"265","2014-12-01",5150.379883,5167.690918,5134.753906,5164.288086,4499727200,5164.288086
"266","2014-11-28",5139.64209,5149.888184,5126.97998,5149.888184,5720875200,5149.888184
"267","2014-11-27",5134.702148,5148.413086,5134.702148,5145.314941,5311692800,5145.314941
"268","2014-11-26",5125.23877,5137.063965,5107.571777,5133.036133,4819645600,5133.036133
"269","2014-11-25",5137.03418,5149.479004,5118.944824,5118.944824,5196818400,5118.944824
"270","2014-11-24",5133.948242,5157.083984,5124.809082,5141.76416,5610406400,5141.76416
"271","2014-11-21",5091.048828,5122.821777,5084.095215,5112.044922,4899083200,5112.044922
"272","2014-11-20",5123.191895,5126.278809,5071.439941,5093.565918,3856786800,5093.565918
"273","2014-11-19",5114.154785,5140.978027,5111.695801,5127.933105,4903078000,5127.933105
"274","2014-11-18",5077.104004,5102.469238,5068.280762,5102.469238,4095725600,5102.469238
"275","2014-11-17",5037.299805,5073.762207,5037.035156,5053.942871,3507189200,5053.942871
"276","2014-11-14",5047.638184,5068.077148,5035.460938,5049.487793,2843486400,5049.487793
"277","2014-11-13",5046.498047,5052.48584,5029.620117,5048.667969,2857497600,5048.667969
"278","2014-11-12",5047.241211,5067.964844,5035.705078,5048.84082,3057628800,5048.84082
"279","2014-11-11",4971.120117,5043.520996,4970.498047,5032.28418,3523927200,5032.28418
"280","2014-11-10",4997.299805,5008.790039,4965.387207,4965.387207,3009163600,4965.387207
"281","2014-11-07",5033.365234,5040.971191,4979.195801,4987.423828,3811608000,4987.423828
"282","2014-11-06",5069.944824,5074.249023,5029.950195,5034.230957,3095617400,5034.230957
"283","2014-11-05",5075.244141,5087.243164,5052.007812,5066.832031,3822222000,5066.832031
"284","2014-11-04",5078.520996,5090.445801,5070.48584,5070.939941,3163115200,5070.939941
"285","2014-11-03",5102.537109,5103.698242,5060.315918,5085.508789,2937954000,5085.508789
"286","2014-10-31",5076.096191,5089.546875,5060.596191,5089.546875,3248979600,5089.546875
"287","2014-10-30",5072.905762,5076.287109,5032.375977,5058.849121,3449555200,5058.849121
"288","2014-10-29",5019.48584,5074.305176,5018.973145,5074.056152,3660158400,5074.056152
"289","2014-10-28",5028.329102,5032.549805,4995.85498,5001.304199,3170307200,5001.304199
"290","2014-10-27",5086.253906,5091.045898,5024.291992,5024.291992,2643968400,5024.291992
"291","2014-10-24",5098.291992,5107.26416,5062.903809,5073.067871,2834151200,5073.067871
"292","2014-10-23",5076.585938,5103.518066,5069.241211,5103.518066,3620509600,5103.518066
"293","2014-10-22",5055.494141,5079.234863,5054.388184,5074.323242,3272543600,5074.323242
"294","2014-10-21",5057.288086,5060.329102,5016.458984,5029.344238,2872288000,5029.344238
"295","2014-10-20",5068.583008,5101.212891,5040.532227,5040.532227,4163622400,5040.532227
"296","2014-10-17",4958.179199,5043.765137,4953.499023,5028.945801,4404320000,5028.945801
"297","2014-10-16",4933.293945,4976.620117,4924.573242,4951.61377,3245217600,4951.61377
"298","2014-10-15",4947.783203,4972.995117,4943.001953,4962.939941,3214653000,4962.939941
"299","2014-10-14",4902.458984,4941.596191,4900.717773,4922.582031,2670104800,4922.582031
"300","2014-10-13",4937.36377,4947.006836,4913.053223,4913.053223,2610009400,4913.053223
"301","2014-10-10",4948.28418,4971.028809,4933.384766,4962.959961,2808648400,4962.959961
"302","2014-10-09",4993.225098,5014.504883,4992.673828,4993.878906,3135350000,4993.878906
"303","2014-10-08",4992.419922,5004.562988,4958.519043,4958.519043,2986764200,4958.519043
"304","2014-10-07",5017.154785,5048.229004,5000.161133,5032.84082,3870868800,5032.84082
"305","2014-10-06",4975.204102,5006.338867,4946.696777,5000.138184,2388932800,5000.138184
"306","2014-10-03",5009.670898,5024.578125,4933.040039,4949.346191,3723924000,4949.346191
"307","2014-10-02",5107.109863,5107.109863,4996.961914,5000.809082,3939886000,5000.809082
"308","2014-10-01",5148.574219,5165.394043,5124.22998,5140.913086,4033148800,5140.913086
"309","2014-09-30",5115.812988,5151.005859,5102.411133,5137.579102,3724096400,5137.579102
"310","2014-09-29",5122.826172,5142.01123,5082.727051,5142.01123,3372723200,5142.01123
