Date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1781.29,1821.27,1763.52,1794.61,13846300,1794.61
2015-06-29,1812.38,1816.82,1776.84,1790.17,11176200,1790.17
2015-06-26,1865.69,1879.01,1843.48,1852.36,6470400,1852.36
2015-06-25,1883.45,1918.99,1861.24,1874.57,13852800,1874.57
2015-06-24,1976.74,1985.62,1905.67,1910.11,17184900,1910.11
2015-06-23,1950.09,1976.74,1923.43,1972.30,26009000,1972.30
2015-06-22,1861.24,1936.76,1834.59,1936.76,25330400,1936.76
2015-06-19,1834.59,1879.01,1834.59,1861.24,15366500,1861.24
2015-06-18,1887.90,1896.78,1807.94,1812.38,26809600,1812.38
2015-06-17,1812.38,1887.90,1807.94,1883.45,20638800,1883.45
2015-06-16,1696.89,1803.50,1696.89,1781.29,19792000,1781.29
2015-06-15,1821.27,1825.71,1723.54,1723.54,18567900,1723.54
2015-06-12,1870.13,1883.45,1803.50,1812.38,15968900,1812.38
2015-06-11,1954.53,1972.30,1852.36,1856.80,16618100,1856.80
2015-06-10,1941.20,1990.07,1918.99,1923.43,20350600,1923.43
2015-06-09,2016.72,2016.72,1861.24,1941.20,42147400,1941.20
2015-06-08,2149.98,2149.98,2030.04,2034.49,14205200,2034.49
2015-06-05,2158.87,2176.63,2123.33,2132.21,12542400,2132.21
2015-06-04,2185.52,2203.29,2167.75,2167.75,12293200,2167.75
2015-06-03,2172.19,2207.73,2158.87,2185.52,16481600,2185.52
2015-06-02,2172.19,2172.19,2172.19,2172.19,000,2172.19
2015-06-01,2225.50,2256.59,2145.54,2172.19,16627900,2172.19
2015-05-29,2318.78,2323.22,2212.17,2225.50,22633600,2225.50
2015-05-28,2389.86,2389.86,2301.01,2309.90,17480400,2309.90
2015-05-27,2412.07,2434.28,2358.76,2358.76,14102600,2358.76
2015-05-26,2469.81,2487.58,2412.07,2412.07,15731400,2412.07
2015-05-25,2487.58,2505.35,2456.49,2460.93,6109000,2460.93
2015-05-22,2487.58,2518.68,2478.70,2487.58,7190000,2487.58
2015-05-21,2527.56,2536.45,2478.70,2483.14,15477200,2483.14
2015-05-20,2496.47,2545.33,2447.60,2509.79,18291100,2509.79
2015-05-19,2438.72,2496.47,2380.97,2487.58,13458800,2487.58
2015-05-18,2438.72,2474.26,2429.83,2434.28,6541400,2434.28
2015-05-15,2438.72,2443.16,2412.07,2429.83,3177300,2429.83
